RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  130  135     0     0  con    0  1.0D+00  9.7D-01  5.498D+00 -1.104D+02
  131  136     0     0  con    0  1.0D+00  1.8D+00  3.202D+00 -1.158D+02
  132  137     0     0  con    0  1.0D+00  1.7D+00  7.732D+00 -1.199D+02
  133  138     0     0  con    0  1.0D+00  3.3D+00  1.177D+01 -1.248D+02
  134  139     0     0  con    0  1.0D+00  5.8D-01  3.266D+00 -1.287D+02
  135  140     0     0  con    0  1.0D+00  2.5D-01  2.859D+00 -1.311D+02
  136  141     0     0  con    0  1.0D+00  7.1D-01  4.202D+00 -1.339D+02
  137  142     0     0  con    0  1.0D+00  2.3D+00  2.315D+01 -1.356D+02
  138  143     0     0  con    0  1.0D+00  3.3D-01  4.115D+00 -1.410D+02
  139  144     0     0  con    0  1.0D+00  7.2D-01  2.832D+00 -1.437D+02
  140  145     0     0  con    0  1.0D+00  1.3D+00  5.564D+00 -1.465D+02
  141  146     0     0  con    0  1.0D+00  1.6D+00  4.889D+00 -1.496D+02
  142  147     0     0  con    0  1.0D+00  1.6D+00  7.350D+00 -1.508D+02
  143  148     0     0  con    0  1.0D+00  5.7D-01  9.160D-01 -1.521D+02
  144  149     0     0  con    0  1.0D+00  2.2D-01  2.927D+00 -1.531D+02
  145  150     0     0  con    0  1.0D+00  3.1D-01  5.631D+00 -1.551D+02
  146  151     0     0  con    0  1.0D+00  9.0D-01  1.464D+01 -1.574D+02
  147  152     0     0  con    0  1.0D+00  8.9D-01  5.580D+00 -1.599D+02
  148  153     0     0  con    0  1.0D+00  5.8D-01  1.782D+00 -1.616D+02
  149  154     0     0  con    0  1.0D+00  7.4D-01  3.000D+00 -1.632D+02
  150  155     0     0  con    0  1.0D+00  4.9D-01  7.832D+00 -1.639D+02
  151  156     0     0  con    0  1.0D+00  8.2D-02  3.240D+00 -1.648D+02
  152  157     0     0  con    0  1.0D+00  2.8D-01  3.440D+00 -1.662D+02
  153  158     0     0  con    0  1.0D+00  2.5D-01  3.357D+00 -1.671D+02
  154  159     0     0  con    0  1.0D+00  8.7D-01  1.509D+01 -1.681D+02
  155  160     0     0  con    0  1.0D+00  2.3D-01  3.751D+00 -1.701D+02
  156  161     0     0  con    0  1.0D+00  1.2D-01  1.997D+00 -1.709D+02
  157  162     0     0  con    0  1.0D+00  2.3D-01  2.547D+00 -1.716D+02
  158  163     0     0  con    0  1.0D+00  4.1D-01  4.768D+00 -1.728D+02
  159  164     0     0  con    0  1.0D+00  8.3D-01  4.565D+00 -1.737D+02
  160  165     0     0  con    0  1.0D+00  1.2D-01  1.207D+00 -1.748D+02
  161  166     0     0  con    0  1.0D+00  1.4D-01  1.604D+00 -1.754D+02
  162  167     0     0  con    0  1.0D+00  3.3D-01  3.954D+00 -1.761D+02
  163  168     0     0  con    0  1.0D+00  6.8D-01  5.633D+00 -1.767D+02
  164  169     0     0  con    0  1.0D+00  1.1D-01  1.451D+00 -1.775D+02
  165  170     0     0  con    0  1.0D+00  2.7D-01  1.890D+00 -1.783D+02
