RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         1926     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  212  214     0     0  con    0  1.0D+00  4.7D-03  6.910D+00  1.989D+05
  213  215     0     0  con    0  1.0D+00  1.5D-02  1.845D+01  1.989D+05
  214  216     0     0  con    0  1.0D+00  6.7D-03  9.937D+00  1.989D+05
  215  217     0     0  con    0  1.0D+00  8.6D-03  3.280D+00  1.989D+05
  216  218     0     0  con    0  1.0D+00  8.1D-03  4.343D+00  1.989D+05
  217  219     0     0  con    0  1.0D+00  1.4D-02  8.099D+00  1.989D+05
  218  221     0     0  con    1  4.2D-01  8.0D-03  1.158D+01  1.989D+05
  219  222     0     0  con    0  1.0D+00  5.7D-03  3.837D+00  1.989D+05
  220  223     0     0  con    0  1.0D+00  6.0D-03  3.613D+00  1.989D+05
  221  224     0     0  con    0  1.0D+00  7.4D-03  7.891D+00  1.989D+05
  222  225     0     0  con    0  1.0D+00  1.6D-02  2.413D+01  1.989D+05
  223  226     0     0  con    0  1.0D+00  1.4D-03  5.581D+00  1.989D+05
  224  227     0     0  con    0  1.0D+00  1.7D-03  3.617D+00  1.989D+05
  225  228     0     0  con    0  1.0D+00  4.2D-03  5.236D+00  1.989D+05
  226  229     0     0  con    0  1.0D+00  9.7D-03  8.637D+00  1.989D+05
  227  230     0     0  con    0  1.0D+00  2.1D-02  3.081D+01  1.989D+05
  228  231     0     0  con    0  1.0D+00  1.2D-03  2.912D+00  1.989D+05
  229  232     0     0  con    0  1.0D+00  1.4D-03  5.448D+00  1.989D+05
  230  233     0     0  con    0  1.0D+00  7.1D-03  8.805D+00  1.989D+05
  231  235     0     0  con    1  4.9D-01  9.3D-03  1.536D+01  1.989D+05
  232  236     0     0  con    0  1.0D+00  8.9D-03  7.195D+00  1.989D+05
  233  237     0     0  con    0  1.0D+00  8.0D-03  2.708D+00  1.989D+05
  234  238     0     0  con    0  1.0D+00  7.1D-03  4.950D+00  1.989D+05
  235  239     0     0  con    0  1.0D+00  9.4D-03  1.077D+01  1.989D+05
  236  240     0     0  con    0  1.0D+00  2.4D-03  4.472D+00  1.989D+05
  237  241     0     0  con    0  1.0D+00  3.6D-03  4.867D+00  1.989D+05
  238  242     0     0  con    0  1.0D+00  4.3D-03  6.049D+00  1.989D+05
  239  243     0     0  con    0  1.0D+00  1.3D-02  1.955D+01  1.989D+05
  240  244     0     0  con    0  1.0D+00  1.4D-03  5.993D+00  1.989D+05
  241  245     0     0  con    0  1.0D+00  3.1D-03  2.803D+00  1.989D+05
  242  246     0     0  con    0  1.0D+00  5.4D-03  3.969D+00  1.989D+05
  243  247     0     0  con    0  1.0D+00  9.6D-03  7.894D+00  1.989D+05
  244  248     0     0  con    0  1.0D+00  2.2D-02  1.842D+01  1.989D+05
  245  249     0     0  con    0  1.0D+00  1.8D-03  3.275D+00  1.989D+05
  246  250     0     0  con    0  1.0D+00  1.1D-03  4.573D+00  1.989D+05
  247  251     0     0  con    0  1.0D+00  4.6D-03  6.011D+00  1.989D+05
  248  253     0     0  con    1  4.5D-01  8.2D-03  1.305D+01  1.989D+05
  249  254     0     0  con    0  1.0D+00  7.5D-03  5.699D+00  1.989D+05
  250  255     0     0  con    0  1.0D+00  9.5D-03  3.625D+00  1.989D+05
  251  256     0     0  con    0  1.0D+00  9.3D-03  8.342D+00  1.989D+05
  252  257     0     0  con    0  1.0D+00  1.1D-02  7.291D+00  1.989D+05
  253  258     0     0  con    0  1.0D+00  7.8D-03  4.895D+00  1.989D+05
  254  259     0     0  con    0  1.0D+00  1.9D-02  1.197D+01  1.989D+05
  255  260     0     0  con    0  1.0D+00  1.8D-03  4.540D+00  1.989D+05
  256  261     0     0  con    0  1.0D+00  2.5D-03  3.270D+00  1.989D+05
  257  262     0     0  con    0  1.0D+00  9.1D-03  6.600D+00  1.989D+05
  258  263     0     0  con    0  1.0D+00  2.3D-02  2.129D+01  1.989D+05
  259  264     0     0  con    0  1.0D+00  3.4D-03  5.453D+00  1.989D+05
  260  265     0     0  con    0  1.0D+00  6.8D-03  2.929D+00  1.989D+05
  261  266     0     0  con    0  1.0D+00  9.9D-03  4.628D+00  1.989D+05
  262  267     0     0  con    0  1.0D+00  1.3D-02  9.357D+00  1.989D+05
  263  268     0     0  con    0  1.0D+00  2.1D-02  1.051D+01  1.989D+05
  264  269     0     0  con    0  1.0D+00  2.8D-03  2.926D+00  1.989D+05
  265  270     0     0  con    0  1.0D+00  2.8D-03  4.112D+00  1.989D+05
  266  271     0     0  con    0  1.0D+00  4.3D-03  9.482D+00  1.989D+05
  267  272     0     0  con    0  1.0D+00  1.4D-02  1.627D+01  1.989D+05
  268  273     0     0  con    0  1.0D+00  3.7D-03  2.795D+00  1.989D+05
  269  274     0     0  con    0  1.0D+00  5.5D-03  4.483D+00  1.989D+05
  270  275     0     0  con    0  1.0D+00  8.6D-03  7.532D+00  1.989D+05
  271  276     0     0  con    0  1.0D+00  2.1D-02  1.823D+01  1.989D+05
  272  277     0     0  con    0  1.0D+00  8.3D-03  5.191D+00  1.989D+05
  273  278     0     0  con    0  1.0D+00  4.4D-03  3.139D+00  1.989D+05
  274  279     0     0  con    0  1.0D+00  7.5D-03  4.127D+00  1.989D+05
  275  280     0     0  con    0  1.0D+00  1.2D-02  8.760D+00  1.989D+05
  276  281     0     0  con    0  1.0D+00  1.8D-02  8.779D+00  1.989D+05
  277  282     0     0  con    0  1.0D+00  1.6D-03  3.148D+00  1.989D+05
  278  283     0     0  con    0  1.0D+00  3.7D-03  6.238D+00  1.989D+05
  279  284     0     0  con    0  1.0D+00  7.3D-03  1.009D+01  1.989D+05
  280  285     0     0  con    0  1.0D+00  1.0D-02  7.493D+00  1.989D+05
  281  286     0     0  con    0  1.0D+00  6.0D-03  2.805D+00  1.989D+05
  282  287     0     0  con    0  1.0D+00  9.9D-03  4.103D+00  1.989D+05
  283  288     0     0  con    0  1.0D+00  6.3D-03  8.118D+00  1.989D+05
  284  289     0     0  con    0  1.0D+00  4.0D-03  5.605D+00  1.989D+05
  285  290     0     0  con    0  1.0D+00  1.3D-02  7.559D+00  1.989D+05
  286  291     0     0  con    0  1.0D+00  1.3D-02  1.337D+01  1.989D+05
  287  292     0     0  con    0  1.0D+00  8.7D-04  6.599D+00  1.989D+05
  288  293     0     0  con    0  1.0D+00  7.1D-03  3.365D+00  1.989D+05
  289  294     0     0  con    0  1.0D+00  7.8D-03  4.734D+00  1.989D+05
  290  295     0     0  con    0  1.0D+00  1.8D-02  2.684D+01  1.989D+05
  291  296     0     0  con    0  1.0D+00  4.9D-03  5.970D+00  1.989D+05
  292  297     0     0  con    0  1.0D+00  1.8D-03  2.936D+00  1.989D+05
  293  298     0     0  con    0  1.0D+00  4.6D-03  3.587D+00  1.989D+05
  294  299     0     0  con    0  1.0D+00  7.0D-03  5.176D+00  1.989D+05
  295  301     0     0  con    1  4.0D-01  8.4D-03  1.402D+01  1.989D+05
  296  302     0     0  con    0  1.0D+00  1.0D-02  4.275D+00  1.989D+05
  297  303     0     0  con    0  1.0D+00  6.4D-03  3.348D+00  1.989D+05
  298  304     0     0  con    0  1.0D+00  1.3D-02  7.497D+00  1.989D+05
  299  305     0     0  con    0  1.0D+00  8.6D-03  6.159D+00  1.989D+05
  300  306     0     0  con    0  1.0D+00  6.5D-03  4.601D+00  1.989D+05
  301  307     0     0  con    0  1.0D+00  1.6D-02  1.810D+01  1.989D+05
  302  308     0     0  con    0  1.0D+00  2.5D-03  3.610D+00  1.989D+05
  303  309     0     0  con    0  1.0D+00  9.4D-04  3.459D+00  1.989D+05
  304  310     0     0  con    0  1.0D+00  6.0D-03  7.214D+00  1.989D+05
  305  311     0     0  con    0  1.0D+00  1.2D-02  1.601D+01  1.989D+05
  306  312     0     0  con    0  1.0D+00  6.6D-03  5.690D+00  1.989D+05
  307  313     0     0  con    0  1.0D+00  8.3D-03  3.363D+00  1.989D+05
  308  314     0     0  con    0  1.0D+00  7.3D-03  4.347D+00  1.989D+05
  309  315     0     0  con    0  1.0D+00  1.4D-02  9.955D+00  1.989D+05
  310  316     0     0  con    0  1.0D+00  1.3D-02  4.241D+00  1.989D+05
  311  317     0     0  con    0  1.0D+00  3.9D-03  3.325D+00  1.989D+05
  312  318     0     0  con    0  1.0D+00  6.8D-03  9.831D+00  1.989D+05
  313  319     0     0  con    0  1.0D+00  9.9D-03  1.493D+01  1.989D+05
  314  320     0     0  con    0  1.0D+00  2.3D-03  6.030D+00  1.989D+05
  315  321     0     0  con    0  1.0D+00  1.1D-02  4.514D+00  1.989D+05
  316  322     0     0  con    0  1.0D+00  7.3D-03  6.624D+00  1.989D+05
  317  323     0     0  con    0  1.0D+00  2.6D-02  1.680D+01  1.989D+05
