RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  280  290     0     0  con    0  1.0D+00  8.0D-01  1.096D+00 -3.501D+02
  281  291     0     0  con    0  1.0D+00  1.5D+00  4.925D+00 -3.508D+02
  282  292     0     0  con    0  1.0D+00  1.5D-01  1.126D+00 -3.522D+02
  283  293     0     0  con    0  1.0D+00  1.0D-01  1.588D+00 -3.529D+02
  284  294     0     0  con    0  1.0D+00  4.0D-01  2.579D+00 -3.541D+02
  285  295     0     0  con    0  1.0D+00  1.2D+00  2.018D+00 -3.561D+02
  286  296     0     0  con    0  1.0D+00  1.7D+00  3.730D+00 -3.578D+02
  287  297     0     0  con    0  1.0D+00  3.2D-01  9.509D-01 -3.592D+02
  288  298     0     0  con    0  1.0D+00  5.6D-01  1.622D+00 -3.605D+02
  289  299     0     0  con    0  1.0D+00  7.6D-01  1.655D+00 -3.617D+02
  290  300     0     0  con    0  1.0D+00  1.9D+00  2.923D+00 -3.634D+02
  291  301     0     0  con    0  1.0D+00  7.1D-01  1.409D+00 -3.651D+02
  292  302     0     0  con    0  1.0D+00  8.9D-01  1.202D+00 -3.668D+02
  293  303     0     0  con    0  1.0D+00  9.1D-01  3.665D+00 -3.681D+02
  294  304     0     0  con    0  1.0D+00  1.7D+00  1.556D+00 -3.701D+02
  295  305     0     0  con    0  1.0D+00  8.7D-01  1.616D+00 -3.718D+02
  296  306     0     0  con    0  1.0D+00  1.5D+00  3.355D+00 -3.737D+02
  297  307     0     0  con    0  1.0D+00  6.6D-01  1.280D+00 -3.754D+02
  298  308     0     0  con    0  1.0D+00  6.6D-01  1.666D+00 -3.770D+02
  299  309     0     0  con    0  1.0D+00  1.3D+00  2.558D+00 -3.788D+02
  300  310     0     0  con    0  1.0D+00  1.5D+00  1.914D+00 -3.803D+02
  301  311     0     0  con    0  1.0D+00  6.3D-02  8.847D-01 -3.813D+02
  302  312     0     0  con    0  1.0D+00  6.7D-01  7.386D-01 -3.824D+02
  303  313     0     0  con    0  1.0D+00  7.0D-01  1.581D+00 -3.831D+02
  304  314     0     0  con    0  1.0D+00  1.4D+00  1.143D+00 -3.844D+02
  305  315     0     0  con    0  1.0D+00  9.6D-01  5.792D+00 -3.860D+02
  306  316     0     0  con    0  1.0D+00  5.1D-01  1.136D+00 -3.877D+02
  307  317     0     0  con    0  1.0D+00  4.0D-01  8.413D-01 -3.888D+02
  308  318     0     0  con    0  1.0D+00  3.2D-01  2.530D+00 -3.899D+02
  309  319     0     0  con    0  1.0D+00  6.3D-01  2.539D+00 -3.906D+02
  310  320     0     0  con    0  1.0D+00  3.0D-01  7.380D-01 -3.915D+02
