30720 3
0.516187 0.842341 -0.284859
0.230626 0.960625 -0.0127889
0.154544 0.975753 0.123246
0.378061 0.912721 -0.0127889
0.0775114 0.984876 0.259281
-4.8623e-18 0.987916 0.395316
0.230626 0.960625 0.259281
-0.154544 0.975753 0.667386
-0.0775114 0.984876 0.531351
0.0775114 0.984876 0.531351
-0.305283 0.939564 0.939456
-0.230626 0.960625 0.803421
-0.0775114 0.984876 0.803421
-0.378061 0.912721 1.07549
-0.448504 0.88024 1.21153
-0.230626 0.960625 1.07549
-0.516187 0.842341 1.34756
-0.580683 0.799241 1.4836
-0.378061 0.912721 1.34756
-0.641603 0.751221 1.61963
-0.698562 0.698562 1.75567
-0.516187 0.842341 1.61963
-0.751221 0.641603 1.8917
-0.799241 0.580683 2.02774
-0.641603 0.751221 1.8917
-0.842341 0.516187 2.16377
-0.88024 0.448504 2.29981
-0.751221 0.641603 2.16377
-0.912721 0.378061 2.43584
-0.939564 0.305283 2.57188
-0.842341 0.516187 2.43584
-0.975753 0.154544 2.84395
-0.960625 0.230626 2.70791
-0.912721 0.378061 2.70791
-0.987916 -3.14086e-17 3.11602
-0.984876 0.0775114 2.97998
-0.960625 0.230626 2.97998
-0.984401 -0.0774738 3.25205
-0.984401 0.0774738 3.25205
0.750859 -0.641294 -3.00556
0.799241 -0.580683 -2.86952
0.695731 -0.695731 -3.14159
0.641294 -0.750859 -3.00556
0.842341 -0.516187 -2.73349
0.88024 -0.448504 -2.59745
0.751221 -0.641603 -2.73349
0.912721 -0.378061 -2.46142
0.939564 -0.305283 -2.32538
0.842341 -0.516187 -2.46142
0.960625 -0.230626 -2.18935
0.975753 -0.154544 -2.05331
0.912721 -0.378061 -2.18935
0.987916 1.0842e-17 -1.78124
0.984876 -0.0775114 -1.91728
0.960625 -0.230626 -1.91728
0.975753 0.154544 -1.50917
0.984876 0.0775114 -1.64521
0.984876 -0.0775114 -1.64521
0.960625 0.230626 -1.37314
0.939564 0.305283 -1.2371
0.984876 0.0775114 -1.37314
0.912721 0.378061 -1.10107
0.88024 0.448504 -0.965033
0.960625 0.230626 -1.10107
0.842341 0.516187 -0.828998
0.799241 0.580683 -0.692964
0.912721 0.378061 -0.828998
0.751221 0.641603 -0.556929
0.698562 0.698562 -0.420894
0.842341 0.516187 -0.556929
0.641603 0.751221 -0.284859
0.580683 0.799241 -0.148824
0.751221 0.641603 -0.284859
0.516187 0.842341 -0.0127889
0.448504 0.88024 0.123246
0.641603 0.751221 -0.0127889
0.305283 0.939564 0.395316
0.378061 0.912721 0.259281
0.516187 0.842341 0.259281
0.154544 0.975753 0.667386
0.230626 0.960625 0.531351
0.378061 0.912721 0.531351
0.0775114 0.984876 0.803421
-1.57043e-17 0.987916 0.939456
0.230626 0.960625 0.803421
-0.0775114 0.984876 1.07549
-0.154544 0.975753 1.21153
0.0775114 0.984876 1.07549
-0.230626 0.960625 1.34756
-0.305283 0.939564 1.4836
-0.0775114 0.984876 1.34756
-0.378061 0.912721 1.61963
-0.448504 0.88024 1.75567
-0.230626 0.960625 1.61963
-0.516187 0.842341 1.8917
-0.580683 0.799241 2.02774
-0.378061 0.912721 1.8917
-0.641603 0.751221 2.16377
-0.698562 0.698562 2.29981
-0.516187 0.842341 2.16377
-0.799241 0.580683 2.57188
-0.751221 0.641603 2.43584
-0.641603 0.751221 2.43584
-0.88024 0.448504 2.84395
-0.842341 0.516187 2.70791
-0.751221 0.641603 2.70791
-0.912721 0.378061 2.97998
-0.939564 0.305283 3.11602
-0.842341 0.516187 2.97998
-0.960162 0.230515 3.25205
-0.91228 0.377879 3.25205
0.515939 -0.841935 -3.00556
0.580683 -0.799241 -2.86952
0.446686 -0.876672 -3.14159
0.377879 -0.91228 -3.00556
0.641603 -0.751221 -2.73349
0.698562 -0.698562 -2.59745
0.516187 -0.842341 -2.73349
0.751221 -0.641603 -2.46142
0.799241 -0.580683 -2.32538
0.641603 -0.751221 -2.46142
0.88024 -0.448504 -2.05331
0.842341 -0.516187 -2.18935
0.751221 -0.641603 -2.18935
0.939564 -0.305283 -1.78124
0.912721 -0.378061 -1.91728
0.842341 -0.516187 -1.91728
0.960625 -0.230626 -1.64521
0.975753 -0.154544 -1.50917
0.912721 -0.378061 -1.64521
0.984876 -0.0775114 -1.37314
0.987916 1.6263e-17 -1.2371
0.960625 -0.230626 -1.37314
0.984876 0.0775114 -1.10107
0.975753 0.154544 -0.965033
0.984876 -0.0775114 -1.10107
0.960625 0.230626 -0.828998
0.939564 0.305283 -0.692964
0.984876 0.0775114 -0.828998
0.912721 0.378061 -0.556929
0.88024 0.448504 -0.420894
0.960625 0.230626 -0.556929
0.842341 0.516187 -0.284859
0.799241 0.580683 -0.148824
0.912721 0.378061 -0.284859
0.698562 0.698562 0.123246
0.751221 0.641603 -0.0127889
0.842341 0.516187 -0.0127889
0.580683 0.799241 0.395316
0.641603 0.751221 0.259281
0.751221 0.641603 0.259281
0.516187 0.842341 0.531351
0.448504 0.88024 0.667386
0.641603 0.751221 0.531351
0.378061 0.912721 0.803421
0.305283 0.939564 0.939456
0.516187 0.842341 0.803421
0.230626 0.960625 1.07549
